gene	index
TCAF2C	1293
OR2A1	1294
GIMAP8	1295
GIMAP6	1296
GBX1	1297
IQCA1L	1298
AC005486.1	1299
AC021218.1	1300
AC005534.1	1301
ZNF705G	1302
AC104964.1	1303
AC105001.1	1304
AF131215.6	1305
AF131215.2	1306
AC130352.1	1307
SGCZ	1308
AC011586.2	1309
AC009884.1	1310
DOK2	1311
AC105206.3	1312
ADAM28	1313
AC108449.3	1314
AC084026.2	1315
MBOAT4	1316
AC068931.1	1317
AC124290.1	1318
AC091182.1	1319
IDO2	1320
TCIM	1321
SOX17	1322
XKR4	1323
AC018607.1	1324
AC012349.1	1325
AC120042.1	1326
PRDM14	1327
RDH10-AS1	1328
AC111149.2	1329
AC087627.1	1330
MIR2052HG	1331
PI15	1332
LINC01111	1333
AC068700.2	1334
PMP2	1335
CA1	1336
AF121898.1	1337
AP003472.2	1338
GRHL2	1339
AC025370.2	1340
PKHD1L1	1341
LINC01151	1342
AC100858.3	1343
AC016074.2	1344
LINC00861	1345
CASC19	1346
AC104370.1	1347
AC022973.5	1348
SLA	1349
ADGRB1	1350
AC067930.2	1351
FOXH1	1352
AL450467.1	1353
IL33	1354
AL133480.1	1355
AL449983.1	1356
AL391117.1	1357
LRRC19	1358
IFNK	1359
CCL19	1360
CCL21	1361
CNTNAP3C	1362
ANKRD20A3	1363
PGM5-AS1	1364
ALDH1A1	1365
AL158825.2	1366
AL137847.1	1367
AL583827.1	1368
AL353752.2	1369
DAPK1-IT1	1370
AL355607.2	1371
AL158071.4	1372
AL354893.2	1373
PTCSC2	1374
HEMGN	1375
LINC01492	1376
AL359552.1	1377
ORM2	1378
TEX48	1379
TNFSF8	1380
AL162425.1	1381
PAPPA-AS2	1382
TTLL11-IT1	1383
AL354928.1	1384
AL445222.1	1385
ODF2-AS1	1386
FCN1	1387
LINC02846	1388
LCN10	1389
C9orf139	1390
BX255925.4	1391
LINC02668	1392
AC025822.1	1393
CALML3-AS1	1394
AL732437.2	1395
IL2RA	1396
LINP1	1397
CELF2-DT	1398
LINC00710	1399
AL136369.2	1400
CELF2-AS2	1401
AL731559.1	1402
ITGA8	1403
AL157385.2	1404
AL355501.1	1405
LINC00840	1406
AL353801.1	1407
ALOX5	1408
AC060234.3	1409
AC069547.2	1410
AC069079.1	1411
AL353784.1	1412
PHYHIPL	1413
AC026391.1	1414
AC067752.1	1415
LINC02640	1416
HKDC1	1417
AC016821.1	1418
TBATA	1419
AC073176.2	1420
AL731563.2	1421
AC022400.4	1422
CH25H	1423
CYP26A1	1424
PLCE1-AS2	1425
CYP2C8	1426
BLNK	1427
AL139819.1	1428
AL158212.5	1429
SLC18A2	1430
PRLHR	1431
LINC02641	1432
AL359094.1	1433
